1;1;2022-11-08;2022-11-09
1;3;2022-01-10;2022-02-09
2;2;2023-07-20;2023-07-27
3;3;2022-11-12;2022-12-12
4;4;2024-10-15;2025-10-15
4;4;2024-05-06;2025-05-06
5;3;2024-11-15;2024-12-15
5;1;2024-03-17;2024-03-18
5;3;2024-01-27;2024-02-26
6;4;2023-08-08;2024-08-07
6;4;2023-06-05;2024-06-04
7;3;2024-02-16;2024-03-17
7;3;2023-12-04;2024-01-03
8;5;2024-01-16;2024-02-15
9;5;2024-02-12;2024-03-13
9;5;2022-08-14;2022-09-13
10;2;2022-07-21;2022-07-28
10;4;2023-01-21;2024-01-21
11;1;2024-08-03;2024-08-04
11;2;2023-07-25;2023-08-01
12;3;2024-04-02;2024-05-02
12;6;2024-08-02;2025-08-02
13;6;2022-06-25;2023-06-25
13;4;2023-09-27;2024-09-26
14;1;2024-01-10;2024-01-11
15;1;2022-12-17;2022-12-18
16;6;2022-04-09;2023-04-09
17;6;2023-01-07;2024-01-07
18;2;2024-06-18;2024-06-25
19;1;2024-05-09;2024-05-10
19;2;2023-07-08;2023-07-15
19;1;2024-09-19;2024-09-20
20;4;2022-10-20;2023-10-20
21;6;2023-08-13;2024-08-12
21;6;2024-09-24;2025-09-24
21;3;2023-06-16;2023-07-16
22;5;2023-06-09;2023-07-09
22;3;2024-03-06;2024-04-05
23;1;2022-02-23;2022-02-24
24;2;2023-02-14;2023-02-21
25;1;2023-06-23;2023-06-24
25;6;2023-05-10;2024-05-09
26;4;2023-12-13;2024-12-12
26;1;2023-04-04;2023-04-05
26;6;2023-05-09;2024-05-08
27;3;2023-11-01;2023-12-01
27;2;2022-01-06;2022-01-13
27;3;2023-12-21;2024-01-20
28;5;2023-06-18;2023-07-18
28;5;2023-04-01;2023-05-01
29;2;2023-07-15;2023-07-22
29;6;2022-01-27;2023-01-27
30;5;2022-03-28;2022-04-27
31;6;2024-02-17;2025-02-16
31;6;2022-06-04;2023-06-04
32;6;2022-09-15;2023-09-15
32;6;2022-11-04;2023-11-04
33;4;2024-06-13;2025-06-13
33;3;2022-04-06;2022-05-06
33;1;2024-06-17;2024-06-18
34;5;2024-09-23;2024-10-23
35;1;2022-06-27;2022-06-28
35;4;2022-11-20;2023-11-20
36;5;2023-07-05;2023-08-04
36;5;2023-05-09;2023-06-08
37;6;2023-10-23;2024-10-22
38;2;2022-07-17;2022-07-24
39;4;2024-02-22;2025-02-21
39;5;2023-09-20;2023-10-20
39;4;2023-07-10;2024-07-09
40;6;2024-07-21;2025-07-21
40;3;2022-06-23;2022-07-23
